Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Line.LINE_0_1"         ,   1,     53943.6,      9398.6,     12396.7,      2159.9,         0.0,         0.0
"Line.LINE_0_1"         ,   2,    -53942.9,     -9397.9
"Line.LINE_1_2"         ,   1,     48275.6,      8939.6,      6808.4,      1260.8,         0.0,         0.0
"Line.LINE_1_2"         ,   2,    -48275.1,     -8939.0
"Line.LINE_2_3"         ,   1,      4048.1,       327.4,         0.0,         0.0,         0.0,         0.0
"Line.LINE_2_3"         ,   2,     -4048.1,      -327.4
"Line.LINE_4_5"         ,   1,      8058.5,       672.8,         0.0,         0.0,         0.0,         0.0
"Line.LINE_4_5"         ,   2,     -8058.1,      -672.4
"Line.LINE_4_6"         ,   1,      8058.5,       672.8,         0.0,         0.0,         0.0,         0.0
"Line.LINE_4_6"         ,   2,     -8058.1,      -672.4
"Line.LINE_4_7"         ,   1,     27445.6,      2361.9,     14816.0,      1275.0,      8501.2,       731.6
"Line.LINE_4_7"         ,   2,    -27440.3,     -2356.6
"Line.LINE_7_10"        ,   1,     27440.3,      2356.6,     14813.1,      1272.2,      8499.5,       730.0
"Line.LINE_7_10"        ,   2,    -27435.1,     -2351.3
"Line.LINE_10_11"       ,   1,        60.4,         5.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_10_11"       ,   2,       -60.4,        -5.0
"Line.LINE_10_12"       ,   1,     27374.7,      2346.3,     14749.9,      1264.2,      8437.5,       723.2
"Line.LINE_10_12"       ,   2,    -27369.4,     -2341.1
"Line.LINE_12_13"       ,   1,       352.1,        29.4,         0.0,         0.0,         0.0,         0.0
"Line.LINE_12_13"       ,   2,      -352.1,       -29.4
"Line.LINE_12_14"       ,   1,     27017.3,      2311.7,     14395.0,      1231.7,      8083.8,       691.7
"Line.LINE_12_14"       ,   2,    -27012.2,     -2306.6
"Line.LINE_14_15"       ,   1,       708.0,        59.1,         0.0,         0.0,         0.0,         0.0
"Line.LINE_14_15"       ,   2,      -708.0,       -59.1
"Line.LINE_14_16"       ,   1,      3288.2,       274.5,         0.0,         0.0,         0.0,         0.0
"Line.LINE_14_16"       ,   2,     -3288.1,      -274.5
"Line.LINE_14_41"       ,   1,     23016.0,      1972.9,     10396.5,       891.2,      4086.7,       350.3
"Line.LINE_14_41"       ,   2,    -23012.3,     -1969.2
"Line.LINE_16_17"       ,   1,       573.2,        47.8,         0.0,         0.0,         0.0,         0.0
"Line.LINE_16_17"       ,   2,      -573.2,       -47.8
"Line.LINE_16_18"       ,   1,      2714.9,       226.6,         0.0,         0.0,         0.0,         0.0
"Line.LINE_16_18"       ,   2,     -2714.9,      -226.6
"Line.LINE_18_19"       ,   1,       543.0,        45.3,         0.0,         0.0,         0.0,         0.0
"Line.LINE_18_19"       ,   2,      -543.0,       -45.3
"Line.LINE_18_20"       ,   1,      2171.9,       181.3,         0.0,         0.0,         0.0,         0.0
"Line.LINE_18_20"       ,   2,     -2171.8,      -181.2
"Line.LINE_20_21"       ,   1,       402.2,        33.6,         0.0,         0.0,         0.0,         0.0
"Line.LINE_20_21"       ,   2,      -402.2,       -33.6
"Line.LINE_20_22"       ,   1,      1769.6,       147.7,         0.0,         0.0,         0.0,         0.0
"Line.LINE_20_22"       ,   2,     -1769.6,      -147.7
"Line.LINE_22_23"       ,   1,      1196.5,        99.8,         0.0,         0.0,         0.0,         0.0
"Line.LINE_22_23"       ,   2,     -1196.5,       -99.8
"Line.LINE_22_24"       ,   1,       573.1,        47.8,         0.0,         0.0,         0.0,         0.0
"Line.LINE_22_24"       ,   2,      -573.1,       -47.8
"Line.LINE_24_25"       ,   1,       573.1,        47.8,         0.0,         0.0,         0.0,         0.0
"Line.LINE_24_25"       ,   2,      -573.1,       -47.8
"Line.LINE_24_26"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_24_26"       ,   2,         0.0,         0.0
"Line.LINE_26_27"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_26_27"       ,   2,         0.0,         0.0
"Line.LINE_26_28"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_26_28"       ,   2,         0.0,         0.0
"Line.LINE_28_29"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_28_29"       ,   2,         0.0,         0.0
"Line.LINE_28_30"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_28_30"       ,   2,         0.0,         0.0
"Line.LINE_30_31"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_30_31"       ,   2,         0.0,         0.0
"Line.LINE_30_32"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_30_32"       ,   2,         0.0,         0.0
"Line.LINE_32_33"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_32_33"       ,   2,         0.0,         0.0
"Line.LINE_32_35"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_32_35"       ,   2,         0.0,         0.0
"Line.LINE_33_34"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_33_34"       ,   2,         0.0,         0.0
"Line.LINE_35_36"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_35_36"       ,   2,         0.0,         0.0
"Line.LINE_35_37"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_35_37"       ,   2,         0.0,         0.0
"Line.LINE_37_38"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_37_38"       ,   2,         0.0,         0.0
"Line.LINE_37_39"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_37_39"       ,   2,         0.0,         0.0
"Line.LINE_37_40"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.LINE_37_40"       ,   2,         0.0,         0.0
"Line.LINE_41_42"       ,   1,      1397.3,       116.6,         0.0,         0.0,         0.0,         0.0
"Line.LINE_41_42"       ,   2,     -1397.3,      -116.6
"Line.LINE_41_43"       ,   1,     21615.0,      1852.6,      8997.6,       771.2,      2688.9,       230.5
"Line.LINE_41_43"       ,   2,    -21611.7,     -1849.4
"Line.LINE_43_44"       ,   1,       381.9,        31.9,         0.0,         0.0,         0.0,         0.0
"Line.LINE_43_44"       ,   2,      -381.9,       -31.9
"Line.LINE_43_45"       ,   1,     21008.8,      1799.0,      8393.4,       718.8,      2085.7,       178.6
"Line.LINE_43_45"       ,   2,    -21005.7,     -1795.9
"Line.LINE_45_46"       ,   1,       221.1,        18.4,         0.0,         0.0,         0.0,         0.0
"Line.LINE_45_46"       ,   2,      -221.1,       -18.4
"Line.LINE_45_47"       ,   1,     21005.7,      1795.9,      8392.1,       717.5,      2085.4,       178.3
"Line.LINE_45_47"       ,   2,    -21002.6,     -1792.9
"Line.LINE_47_48"       ,   1,       269.1,        22.5,         0.0,         0.0,         0.0,         0.0
"Line.LINE_47_48"       ,   2,      -269.1,       -22.5
"Line.LINE_47_49"       ,   1,      1456.1,       121.5,         0.0,         0.0,         0.0,         0.0
"Line.LINE_47_49"       ,   2,     -1456.1,      -121.5
