hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 6230.16, -21.8537, 6040.63, -173.897, 375.199, 54.3002, 311.122, -147.163, 716.114, -174.714, 472.713, -173.589
2, 0.00000, 6230.16, -21.8537, 6040.63, -173.897, 375.199, 54.3002, 311.122, -147.163, 716.114, -174.714, 472.713, -173.589
