hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 6230.18, -21.7908, 6029.04, -173.993, 176.417, 53.9459, 6.23018E-009, -21.7908, 6.02904E-009, -173.993, 1.76417E-010, 53.9459
2, 0.00000, 6230.18, -21.7909, 6029.04, -173.993, 176.417, 53.9459, 6.23018E-009, -21.7909, 6.02904E-009, -173.993, 1.76417E-010, 53.9459
