hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 6230.49, -21.8352, 6037.18, -173.923, 258.691, 54.1946, 82.8361, -150.373, 188.784, -175.594, 126.937, -174.588
2, 0.00000, 6230.49, -21.8352, 6037.18, -173.923, 258.691, 54.1946, 82.8361, -150.373, 188.784, -175.594, 126.937, -174.588
