hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 6230.48, -21.8341, 6036.98, -173.925, 258.87, 54.1919, 33.7064, -150.375, 76.8166, -175.594, 51.6514, -174.589
2, 0.00000, 6230.48, -21.8341, 6036.98, -173.925, 258.87, 54.1919, 33.7064, -150.375, 76.8166, -175.594, 51.6514, -174.589
