Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"BUS_MV_47", 12.47, 1,     6916.7,  -37.2,   0.96071, 2,     6916.7, -157.2,   0.96071, 3,     6916.7,   82.8,   0.96071
"BUS_MV_48", 12.47, 1,    6916.68,  -37.2,   0.96071, 2,    6916.68, -157.2,   0.96071, 3,    6916.68,   82.8,   0.96071
"BUS_MV_49", 12.47, 1,    6916.62,  -37.2,    0.9607, 2,    6916.62, -157.2,    0.9607, 3,    6916.62,   82.8,    0.9607
"BUS_MV_52", 12.47, 1,    6915.69,  -37.2,   0.96057, 2,    6915.69, -157.2,   0.96057, 3,    6915.69,   82.8,   0.96057
"BUS_MV_50", 12.47, 1,    6916.59,  -37.2,    0.9607, 2,    6916.59, -157.2,    0.9607, 3,    6916.59,   82.8,    0.9607
"BUS_MV_51", 12.47, 1,    6916.57,  -37.2,   0.96069, 2,    6916.57, -157.2,   0.96069, 3,    6916.57,   82.8,   0.96069
"BUS_MV_53", 12.47, 1,    6915.62,  -37.2,   0.96056, 2,    6915.62, -157.2,   0.96056, 3,    6915.62,   82.8,   0.96056
"BUS_MV_54", 12.47, 1,    6914.75,  -37.2,   0.96044, 2,    6914.75, -157.2,   0.96044, 3,    6914.75,   82.8,   0.96044
"BUS_MV_55", 12.47, 1,    6914.58,  -37.2,   0.96042, 2,    6914.58, -157.2,   0.96042, 3,    6914.58,   82.8,   0.96042
"BUS_MV_58", 12.47, 1,    6913.99,  -37.2,   0.96034, 2,    6913.99, -157.2,   0.96034, 3,    6913.99,   82.8,   0.96034
"BUS_MV_56", 12.47, 1,    6914.56,  -37.2,   0.96041, 2,    6914.56, -157.2,   0.96041, 3,    6914.56,   82.8,   0.96041
"BUS_MV_57", 12.47, 1,    6914.52,  -37.2,   0.96041, 2,    6914.52, -157.2,   0.96041, 3,    6914.52,   82.8,   0.96041
"BUS_MV_59", 12.47, 1,    6913.79,  -37.2,   0.96031, 2,    6913.79, -157.2,   0.96031, 3,    6913.79,   82.8,   0.96031
"BUS_MV_65", 12.47, 1,    6913.43,  -37.2,   0.96026, 2,    6913.43, -157.2,   0.96026, 3,    6913.43,   82.8,   0.96026
"BUS_MV_60", 12.47, 1,    6913.71,  -37.2,    0.9603, 2,    6913.71, -157.2,    0.9603, 3,    6913.71,   82.8,    0.9603
"BUS_MV_62", 12.47, 1,    6913.67,  -37.2,   0.96029, 2,    6913.67, -157.2,   0.96029, 3,    6913.67,   82.8,   0.96029
"BUS_MV_61", 12.47, 1,    6913.68,  -37.2,   0.96029, 2,    6913.68, -157.2,   0.96029, 3,    6913.68,   82.8,   0.96029
