Element, Nterminals, Nconductors, P_1, Q_1, ...
"Line.line_37_38", 2, 3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
"Line.line_37_39", 2, 3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
"Line.line_37_40", 2, 3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
"Line.line_41_42", 2, 3,    465.769,    38.8664,    465.769,    38.8664,    465.769,    38.8664,   -465.765,   -38.8619,   -465.765,   -38.8619,   -465.765,   -38.8619
"Line.line_41_43", 2, 3,    7205.01,    617.543,    7205.01,    617.543,    7205.01,    617.543,   -7203.91,   -616.451,   -7203.91,   -616.451,   -7203.91,   -616.451
"Line.line_43_44", 2, 3,     127.29,    10.6208,     127.29,    10.6208,     127.29,    10.6208,    -127.29,   -10.6205,    -127.29,   -10.6205,    -127.29,   -10.6205
"Line.line_43_45", 2, 3,    7002.93,    599.682,    7002.93,    599.682,    7002.93,    599.682,    -7001.9,    -598.65,    -7001.9,    -598.65,    -7001.9,    -598.65
"Line.line_45_46", 2, 3,    73.6943,    6.14882,    73.6943,    6.14882,    73.6943,    6.14882,   -73.6942,   -6.14873,   -73.6942,   -6.14873,   -73.6942,   -6.14873
"Line.line_45_47", 2, 3,     7001.9,     598.65,     7001.9,     598.65,     7001.9,     598.65,   -7000.87,   -597.618,   -7000.87,   -597.618,   -7000.87,   -597.618
"Line.line_47_48", 2, 3,    89.7129,    7.48523,    89.7129,    7.48523,    89.7129,    7.48523,   -89.7128,   -7.48508,   -89.7128,   -7.48508,   -89.7128,   -7.48508
"Line.line_47_49", 2, 3,    485.379,    40.5038,    485.379,    40.5038,    485.379,    40.5038,   -485.374,   -40.4989,   -485.374,   -40.4989,   -485.374,   -40.4989
"Line.line_47_52", 2, 3,    6425.77,    549.629,    6425.77,    549.629,    6425.77,    549.629,   -6424.91,   -548.759,   -6424.91,   -548.759,   -6424.91,   -548.759
"Line.line_49_50", 2, 3,    197.497,    16.4787,    197.497,    16.4787,    197.497,    16.4787,   -197.496,   -16.4779,   -197.496,   -16.4779,   -197.496,   -16.4779
"Line.line_49_51", 2, 3,    287.877,    24.0202,    287.877,    24.0202,    287.877,    24.0202,   -287.875,   -24.0185,   -287.875,   -24.0185,   -287.875,   -24.0185
"Line.line_52_53", 2, 3,    461.808,    38.5341,    461.808,    38.5341,    461.808,    38.5341,   -461.804,   -38.5296,   -461.804,   -38.5296,   -461.804,   -38.5296
"Line.line_52_54", 2, 3,     5963.1,    510.225,     5963.1,    510.225,     5963.1,    510.225,   -5962.35,   -509.476,   -5962.35,   -509.476,   -5962.35,   -509.476
"Line.line_54_55", 2, 3,    1108.67,    92.5249,    1108.67,    92.5249,    1108.67,    92.5249,   -1108.64,    -92.499,   -1108.64,    -92.499,   -1108.64,    -92.499
"Line.line_54_58", 2, 3,    4853.68,    416.952,    4853.68,    416.952,    4853.68,    416.952,   -4853.18,   -416.455,   -4853.18,   -416.455,   -4853.18,   -416.455
"Line.line_55_56", 2, 3,    127.123,    10.6064,    127.123,    10.6064,    127.123,    10.6064,   -127.122,   -10.6061,   -127.122,   -10.6061,   -127.122,   -10.6061
"Line.line_55_57", 2, 3,    345.906,    28.8619,    345.906,    28.8619,    345.906,    28.8619,   -345.903,   -28.8594,   -345.903,   -28.8594,   -345.903,   -28.8594
"Line.line_58_59", 2, 3,     1271.6,    106.144,     1271.6,    106.144,     1271.6,    106.144,   -1271.57,    -106.11,   -1271.57,    -106.11,   -1271.57,    -106.11
"Line.line_58_65", 2, 3,    3581.58,    310.311,    3581.58,    310.311,    3581.58,    310.311,   -3581.31,   -310.041,   -3581.31,   -310.041,   -3581.31,   -310.041
"Line.line_59_60", 2, 3,    512.376,    42.7541,    512.376,    42.7541,    512.376,    42.7541,   -512.371,   -42.7486,   -512.371,   -42.7486,   -512.371,   -42.7486
"Line.line_59_62", 2, 3,     759.19,     63.356,     759.19,     63.356,     759.19,     63.356,   -759.178,   -63.3438,   -759.178,   -63.3438,   -759.178,   -63.3438
"Line.line_60_61", 2, 3,    214.044,    17.8589,    214.044,    17.8589,    214.044,    17.8589,   -214.043,   -17.8579,   -214.043,   -17.8579,   -214.043,   -17.8579
"Line.line_62_63", 2, 3,    464.868,    38.7893,    464.868,    38.7893,    464.868,    38.7893,   -464.864,   -38.7847,   -464.864,   -38.7847,   -464.864,   -38.7847
"Line.line_63_64", 2, 3,    183.938,    15.3468,    183.938,    15.3468,    183.938,    15.3468,   -183.938,   -15.3461,   -183.938,   -15.3461,   -183.938,   -15.3461
"Line.line_65_66", 2, 3,    446.775,    37.2797,    446.775,    37.2797,    446.775,    37.2797,   -446.771,   -37.2755,   -446.771,   -37.2755,   -446.771,   -37.2755
"Line.line_65_68", 2, 3,    3134.54,    272.761,    3134.54,    272.761,    3134.54,    272.761,   -3134.33,   -272.554,   -3134.33,   -272.554,   -3134.33,   -272.554
"Line.line_66_67", 2, 3,    234.755,    19.5868,    234.755,    19.5868,    234.755,    19.5868,   -234.753,   -19.5857,   -234.753,   -19.5857,   -234.753,   -19.5857
"Line.line_68_69", 2, 3,     137.09,    11.4378,     137.09,    11.4378,     137.09,    11.4378,    -137.09,   -11.4375,    -137.09,   -11.4375,    -137.09,   -11.4375
"Line.line_68_70", 2, 3,    2997.24,    261.116,    2997.24,    261.116,    2997.24,    261.116,   -2997.05,   -260.927,   -2997.05,   -260.927,   -2997.05,   -260.927
"Line.line_70_71", 2, 3,    391.818,    32.6924,    391.818,    32.6924,    391.818,    32.6924,   -391.815,   -32.6892,   -391.815,   -32.6892,   -391.815,   -32.6892
"Line.line_70_72", 2, 3,    304.228,    25.3836,    304.228,    25.3836,    304.228,    25.3836,   -304.226,   -25.3816,   -304.226,   -25.3816,   -304.226,   -25.3816
"Line.line_70_73", 2, 3,       2301,    202.851,       2301,    202.851,       2301,    202.851,   -2300.89,   -202.739,   -2300.89,   -202.739,   -2300.89,   -202.739
"Line.line_73_74", 2, 3,    244.025,    20.3601,    244.025,    20.3601,    244.025,    20.3601,   -244.023,   -20.3588,   -244.023,   -20.3588,   -244.023,   -20.3588
"Line.line_73_75", 2, 3,    2056.87,    182.379,    2056.87,    182.379,    2056.87,    182.379,   -2056.78,    -182.29,   -2056.78,    -182.29,   -2056.78,    -182.29
